Environmental factor,N,β,SE,t,P-value,Q-value,significant_fdr
PET_Mean,9,0.0004648,0.002145,0.217,0.835,0.951,False
bio_7_Std,17,-0.04907,0.2331,-0.211,0.836,0.951,False
MI_0.95,17,-0.1863,0.9524,-0.196,0.848,0.951,False
bio_17_0.05,17,-0.00264,0.01353,-0.195,0.848,0.951,False
bio_11_0.95,17,0.01014,0.05354,0.189,0.852,0.951,False
bio_8_Mean,17,-0.01572,0.08314,-0.189,0.853,0.951,False
bio_13_0.95,17,-0.0004289,0.002277,-0.188,0.853,0.951,False
GHII_0.05,17,-0.00698,0.03797,-0.184,0.857,0.951,False
bio_19_0.05,17,-0.001616,0.009003,-0.180,0.860,0.951,False
CN_RATIO,17,-0.03824,0.2201,-0.174,0.864,0.951,False
GHIL_0.05,17,-1.216,7.096,-0.171,0.866,0.951,False
bio_15_0.05,17,-0.002798,0.01667,-0.168,0.869,0.951,False
bio_12_0.95,13,-0.0001732,0.001105,-0.157,0.878,0.951,False
bio_9_0.95,17,-0.005981,0.04265,-0.140,0.890,0.951,False
bio_15_Mean,17,-0.002301,0.01682,-0.137,0.893,0.951,False
bio_16_0.95,15,-0.0001403,0.001233,-0.114,0.911,0.951,False
bio_14_Mean,17,0.008391,0.07474,0.112,0.912,0.951,False
bio_5_0.05,17,0.01083,0.09902,0.109,0.914,0.951,False
bio_18_0.95,16,-0.0001171,0.001103,-0.106,0.917,0.951,False
TOTAL_N,17,-0.1007,0.9866,-0.102,0.920,0.951,False
bio_6_0.95,17,0.00509,0.05051,0.101,0.921,0.951,False
MI_0.05,17,0.1363,1.598,0.085,0.933,0.951,False
GHFD_0.05,17,-0.002946,0.03598,-0.082,0.936,0.951,False
bio_10_Mean,17,0.007629,0.1434,0.053,0.958,0.966,False
CLAY,17,-0.001462,0.09955,-0.015,0.988,0.988,False
